# A Finnish frequency list from Finnish printed news
# The 9996 most common lemmas of the language of Finnish printed news. The vocabulary was assembled in 2004 and the total count of the source material was 43,999,826 words.
#
# word	rank	count	percentage	PoS
olla	1	2716396	4.614851	verb
ja	2	1566108	2.660641	conjunction
ei	3	593462	1.008225	verb
se	4	538609	0.915036	pronoun
että	5	443301	0.753118	conjunction
joka	6	417984	0.710108	pronoun
vuosi	7	344927	0.585992	noun
hän	8	302803	0.514428	pronoun
myös	9	267015	0.453628	adverb
saada	10	248176	0.421623	verb
mutta	11	217016	0.368686	conjunction
tämä	12	209851	0.356513	pronoun
voida	13	197072	0.334803	verb
tulla	14	192327	0.326742	verb
Suomi	15	181128	0.307716	proper noun
tehdä	16	171406	0.291199	verb
kun	17	165584	0.281309	conjunction
pitää	18	161237	0.273923	verb
mukaan	19	157837	0.268147	preposition
uusi	20	149954	0.254755	adjective
jo	21	141886	0.241048	adverb
kuin	22	136565	0.232009	conjunction
hyvä	23	133250	0.226377	adjective
ne	24	131524	0.223444	pronoun
sanoa	25	128156	0.217723	verb
kaikki	26	117073	0.198894	pronoun
markka	27	113699	0.193162	noun
nyt	28	110896	0.1884	adverb
suuri	29	110368	0.187503	adjective
kertoa	30	108963	0.185116	verb
tai	31	108891	0.184994	conjunction
vain	32	105813	0.179764	adverb
paljon	33	105013	0.178405	adverb
muu	34	103663	0.176112	pronoun
vielä	35	102866	0.174758	adverb
niin	36	101149	0.171841	adverb
oma	37	99266	0.168642	adjective
sekä	38	98684	0.167653	conjunction
mikä	39	98423	0.16721	pronoun
maa	40	96134	0.163321	noun
kaksi	41	95576	0.162373	numeral
jos	42	91546	0.155526	conjunction
asia	43	90391	0.153564	noun
yksi	44	88709	0.150707	numeral
viime	45	87324	0.148354	adjective
he	46	86477	0.146915	pronoun
prosentti	47	84397	0.143381	noun
ihminen	48	83223	0.141386	noun
kuitenkin	49	82441	0.140058	adverb
jälkeen	50	81839	0.139035	preposition
mies	51	81135	0.137839	noun
kanssa	52	78233	0.132909	preposition
aika	53	77381	0.131462	noun
noin	54	75702	0.128609	adverb
hyvin	55	72808	0.123693	adverb
ensimmäinen	56	71933	0.122206	numeral
jäädä	57	70908	0.120465	verb
työ	58	69724	0.118453	noun
ottaa	59	69564	0.118181	verb
me	60	68470	0.116323	pronoun
antaa	61	68220	0.115898	verb
mieli	62	67877	0.115315	noun
Helsinki	63	66664	0.113255	proper noun
haluta	64	66342	0.112708	verb
alkaa	65	65887	0.111935	verb
EU	66	64598	0.109745	abbreviation
itse	67	64470	0.109527	pronoun
moni	68	63509	0.107895	pronoun
käydä	69	63018	0.10706	verb
kaupunki	70	62508	0.106194	noun
kolme	71	60963	0.103569	numeral
miljoona	72	60603	0.102958	numeral
osa	73	59883	0.101734	noun
STT	74	59654	0.101345	abbreviation
alue	75	59409	0.100929	noun
eikä	76	59039	0.100301	verb
mm.	77	58672	0.099677	abbreviation
päästä	78	58046	0.098614	verb
vaikka	79	57749	0.098109	conjunction
lapsi	80	57087	0.096984	noun
päivä	81	56949	0.09675	noun
hallitus	82	56157	0.095404	noun
toimia	83	56059	0.095238	verb
sama	84	54787	0.093077	pronoun
koko	85	54158	0.092008	adjective
pieni	86	52413	0.089044	adjective
ettei	87	52314	0.088876	verb
mennä	88	52289	0.088833	verb
ensi	89	51953	0.088262	adjective
kunta	90	51750	0.087917	noun
toinen	91	51698	0.087829	numeral
sillä	92	51438	0.087387	conjunction
joutua	93	51376	0.087282	verb
käyttää	94	51217	0.087012	verb
Tampere	95	50664	0.086072	proper noun
kuulua	96	50311	0.085473	verb
mikään	97	50022	0.084982	pronoun
nainen	98	49693	0.084423	noun
toinen	99	49495	0.084086	pronoun
viikko	100	49203	0.08359	noun
esimerkiksi	101	48893	0.083064	adverb
lähteä	102	48838	0.08297	verb
eli	103	47589	0.080848	conjunction
tarvita	104	47585	0.080842	verb
yli	105	46105	0.078327	adverb
koska	106	45522	0.077337	conjunction
Venäjä	107	45513	0.077321	proper noun
Turku	108	45193	0.076778	proper noun
luku	109	45167	0.076734	noun
vanha	110	44857	0.076207	adjective
nousta	111	44764	0.076049	verb
nähdä	112	44608	0.075784	verb
kerta	113	44277	0.075222	noun
jokin	114	43427	0.073778	pronoun
todeta	115	43415	0.073757	verb
aikana	116	43220	0.073426	preposition
yritys	117	43110	0.073239	noun
minä	118	42865	0.072823	pronoun
nämä	119	42375	0.07199	pronoun
seurata	120	42351	0.07195	verb
tärkeä	121	40265	0.068406	adjective
alku	122	40142	0.068197	noun
paikka	123	39902	0.067789	noun
vaan	124	39679	0.06741	conjunction
tilanne	125	39409	0.066951	noun
presidentti	126	39157	0.066523	noun
tieto	127	39151	0.066513	noun
loppu	128	38445	0.065314	noun
tietää	129	38409	0.065253	verb
tapa	130	38183	0.064869	noun
maailma	131	38138	0.064792	noun
aina	132	38136	0.064789	adverb
määrä	133	37877	0.064349	noun
maksaa	134	37589	0.063859	verb
vaatia	135	37555	0.063802	verb
puheenjohtaja	136	37381	0.063506	noun
löytyä	137	37319	0.063401	verb
lähes	138	37172	0.063151	adverb
tuoda	139	37022	0.062896	verb
uskoa	140	36840	0.062587	verb
esittää	141	36575	0.062137	verb
ennen	142	36245	0.061576	preposition
ts.	143	36153	0.06142	abbreviation
neljä	144	35846	0.060898	numeral
Oulu	145	35835	0.06088	proper noun
usea	146	35672	0.060603	pronoun
poliisi	147	35367	0.060085	noun
kisa	148	35258	0.059899	noun
