#s	hn	av	tn	taivutus
aakkonen			38	
aakkosellinen			38	
aakkosellisesti			99	
aakkosellisuus			40	
aakkosittain			99	
aakkosjärjestys				
aakkosnumeerinen				
aakkostaa			53	
aakkosto			2	
aakkostus			39	
aalloittain			99	
aalloittainen			38	
aalloittaisuus			40	
aallokas		A	41	
aallokko		A	4	
aallonharja				
aallonmurtaja				
aallonpituus				
aallonpohja				
aallota		I	75	
aallotar		C	32	
aallottaa		C	53	
aallotus			39	
aaloe			3	
aalto		I	1	
aaltoallas				
aaltoalue				
aaltoenergia				
aaltoilla			67	
aaltoilu			2	
-aaltoinen			38	
aaltolevy				
aaltoliike				
aaltopahvi				
aaltopelti				
aaltopituus				
aaltosulje				
aaltosulku				
aaltosulkumerkki				
aaltoviiva				
aaltovoimala				
aamen			32	
aamiainen			38	
aamiaismajoitus				
aamiaistapaaminen				
aamiaistunti				
aamu			1	
aamuaskare				
aamuateria				
aamuhartaus				
aamuhämärä				
aamuinen			38	
aamuisin			99	
aamujumalanpalvelus				
aamujuna				
aamukahdeksan				
aamukahvi				
aamukampa				
aamukaste				
aamukylmä				
aamulehti				
aamulenkki				
aamullinen			38	
aamulypsy				
aamulähetys				
aamulämpö				
aamunavaus				
aamunkoite				
aamunkoitto				
aamunraikas				
aamunsarastus				
aamuntorkku				
aamunvirkku				
aamupahoinvointi				
aamupala				
aamupesu				
aamupuoli				
aamupäivisin				
aamupäivä				
aamurusko				
aamuruuhka				
aamusella			99	
aamutakki				
aamutohveli				
aamutorkku				
aamutossu				
aamutuimaan			99	
aamutähti				
aamu-uninen				
aamu-unisuus				
aamu-uutiset				
aamuvarhain				
aamuvarhainen				
aamuvartio				
aamuvirkku				
aamuvoimistelu				
aamuvuoro				
aamuyö				
aapa		E	9	
aapasuo				
aapinen			38	
aapiskirja				
aapiskukko				
aaprotti		C	5	
aari			5	
aaria			12	
aarnialue				
aarnihauta				
aarnihonka				
aarnikotka				
aarnio	1		3	
aarnio	2		3	
aarniohauta				
aarniometsä				
aarnipuu				
aarnituli				
aarnivalkea				
aaroninparta				
aarpora			10	
aarre		K	48	
aarreaitta				
aarrehauta				
aarrekammio				
aarrekätkö				
aarrelöytö				
aarretuli				
aarrevalkea				
aarteenetsijä				
